iter	Passed	Remaining
0	1201	118996
1	1869	91596
2	2617	84628
3	3435	82440
4	4140	78662
5	4923	77131
6	5647	75027
7	6353	73062
8	7125	72049
9	7852	70668
10	8457	68425
11	9147	67080
12	9683	64807
13	10256	63003
14	10994	62300
15	11650	61166
16	12207	59599
17	12797	58300
18	13355	56938
19	13970	55881
20	14540	54700
21	15070	53431
22	15809	52927
23	16334	51725
24	16885	50655
25	17422	49586
26	17996	48657
27	18583	47787
28	19141	46863
29	19708	45986
30	20284	45148
31	20844	44294
32	21401	43452
33	21938	42586
34	22542	41865
35	23104	41074
36	23658	40284
37	24207	39496
38	24745	38703
39	25276	37914
40	25844	37191
41	26456	36534
42	27012	35807
43	27570	35089
44	28119	34368
45	28663	33648
46	29232	32963
47	29792	32275
48	30320	31558
49	30885	30885
50	31420	30187
51	31950	29493
52	32485	28808
53	33053	28156
54	33589	27482
55	34152	26834
56	34752	26216
57	35321	25577
58	35903	24950
59	36458	24305
60	37030	23675
61	37647	23074
62	38185	22426
63	38761	21803
64	39298	21160
65	39846	20527
66	40420	19908
67	40986	19287
68	41519	18653
69	42096	18041
70	42649	17420
71	43199	16799
72	43740	16178
73	44275	15556
74	44824	14941
75	45363	14325
76	45904	13711
77	46462	13104
78	47001	12493
79	47538	11884
80	48105	11284
81	48647	10678
82	49180	10073
83	49772	9480
84	50336	8882
85	50874	8281
86	51415	7682
87	51959	7085
88	52503	6489
89	53066	5896
90	53657	5306
91	54248	4717
92	54824	4126
93	55360	3533
94	55903	2942
95	56451	2352
96	57005	1763
97	57584	1175
98	58154	587
99	58699	0
